
譯ハ゜ーティーは全滅しました！{0x5}{0x0}{0xf},  0x31d
挨п{0xd}メ´{0xd}{0x8}か,  0x82d2
かくし扉{0x15}た゛{0x16}よ{0x17}て゛す{0x18}し゛ゃ{0x14}！{0xd}{0xf}叫,  0x8313
に入る{0xf}を出る{0xf}闔,  0x8d5d
滋裏{0xf}オラン{0xf}エレミア{0xf}サ゛イン{0xf}ロマール{0xf}レイト゛{0xf}ヘ゛ルタ゛イン{0xf}サ゛ーン{0xf}ト゛レックノール{0xf}ハ゜ルマー{0xf}ト゛ゥーテ゛ント{0xf}シア村{0xf}村{0xf}テ゛ンテ゛ルカ゛村{0xf},  0xa0e1
筵世界マッフ゜{0xf}古代王国への扉亭{0xf}うるわしの我か゛家亭{0xf}魔術師キ゛ルト゛{0xf}盗賊キ゛ルト゛{0xf}ファリス神殿{0xf}マイリー神殿{0xf}ラータ゛神殿{0xf}チャ・サ゛神殿{0xf}マーファ神殿{0xf}武具の店{0xf}奇跡の店{0xf}港{0xf}丘のクシ゛ラ亭{0xf}銀キ゛ツネ亭{0xf}ひとときの夢亭{0xf}赤いヨロイ亭{0xf}闘技場{0xf}北の白クマ亭{0xf}傭兵キ゛ルト゛{0xf}牢獄亭{0xf}月の坂道亭{0xf}真夜中の馬亭{0xf}村{0xf}村長の家{0xf}地下遺跡{0xf}ノルン卿の館{0xf}スラム{0xf}山賊のアシ゛ト{0xf}シリール川{0xf}船頭の家{0xf}中州{0xf}渓谷{0xf}ミト゛リの屋根亭{0xf}村はす゛れ{0xf}裏山{0xf}霧の村{0xf}森{0xf}鉱山{0xf}馬車キ゛ルト゛{0xf}鍛冶キ゛ルト゛{0xf}皮細工キ゛ルト゛{0xf}倉庫街{0xf}コ゛ート゛ンのやしき{0xf}サ゛インへのぬけ道{0xf}林{0xf}騎士団詰所{0xf}シク゛ルト゛の家{0xf}街はす゛れの家{0xf}ラーノスのやしき{0xf}牧草地{0xf}牧場主の家{0xf}宿屋{0xf}シ゛ョシュアの家{0xf}古代遺跡{0xf}連奇石{0xf}洞窟{0xf}ナテイラの店{0xf}闇市{0xf}テ゛ンテ゛ルカ゛村{0xf}山賊の洞窟{0xf}ツンセ゛ム村{0xf}ロイモン村{0xf}日のしす゛む峡谷{0xf}近郊の丘{0xf}廃屋{0xf}地下墓地{0xf}公衆浴場{0xf}街中{0xf}よいと゛れエルフ亭{0xf}サ゛ンクの家{0xf}沼地{0xf}西の森{0xf}南東の山{0xf}山道{0xf}墜とされし巨人の宮殿{0xf}ななし{0xf}{0x0}{0x0}{0x0}{0x0}謳{0x0}{0x7}{0x0}{0x0}遭{0x0}{0x0}{0x0}う{0x0},  0xa62a
を窒{0x0}{0x0}{0x2}{0x2}{0x1}{0x1}{0x3}{0x0}{0x0}{0x0}{0x1}{0x0}{0x2}{0x8}{0x1}{0x1}{0x17}{0x6}{0xf}の{0x4}ステータスを見ますか？{0xf},  0xcee2
脉←{0x3}{0x0},  0xcef1
←か芦誰かはす゛しますか？{0xf},  0xcf3f
逗かю誰をはす゛しますか？{0xf},  0xcfa3
え閧艪窒,  0xcfd1
は、はす゛せません！{0x5}{0x0}{0xf},  0xd004
脉←{0x2}{0x0},  0xd013
〔逗Ｅ,  0xd043
〔脉←{0x2}{0x0},  0xd056
霾脉←{0x1}{0x0},  0xd0ad
蹟Θｍし閧,  0xd0ff
か焙Ａの所持金{0x4}{0x6}{0x1b}{0x0}{0x2}カ゛メルを{0x4}仲間の所持金に加えました{0xf},  0xd167
瓦紙,  0xd183
≦о熏{0x1b}{0x19}痲,  0xd1be
埼竝かし閧,  0xd1f4
か游Я{0x0}{0x0}{0x2}{0x2}{0x1}{0x1}{0x3}{0x0}{0x0}{0x0}{0x1}{0x0}{0x2}{0x8}{0x1}{0x1}{0x17}{0xa}仲間の所持金から{0x4}{0x6}{0x1b}{0x0}{0x2}カ゛メルを{0x4}{0xf}にあたえました{0xf},  0xd255
辣瘁ようこそ魔術師キ゛ルト゛へ。{0xd}{0xf}{0xe}{0x0}{0x1}{0xe}{0x2}またよってくた゛さい。{0xd}{0xf},  0xe73d
辣瘁昆顔,  0xe758
瘁盗賊の知恵を買いにきたのか？{0xd}{0xf}{0xe}{0x0}{0x1}{0xe}{0x2}さっさと帰んな。{0xd}{0xf},  0xe7a2
瘁いらっしゃい。{0x4}うちにはいい傭兵か゛たくさんいるせ゛。{0xd}{0xf}{0xe}{0x0}{0x1}{0xe}{0x2}気か゛向いたらまた来てくれ。{0xd}{0xf}{0xe}{0x0}{0x1}{0xe}{0x2}いらっしゃい。{0x4}と゛んな用かい。{0xd}{0xf}{0xe}{0x0}{0x1}{0xe}{0x2}また来てくれよ。{0xd}{0xf},  0xe8c3
ю閻瘁今は、何も情報はないせ゛。{0x4}さっさと帰んな。{0xd}{0xf},  0xe90d
ю驟瘁今は、何も情報はないせ゛。{0x4}さっさと帰んな。{0xd}{0xf},  0xe956
驟瘁昆憺,  0xe976
瘁何かこ゛用かな？{0xd}{0xf}{0xe}{0x0}{0x1}{0xe}{0x2}ファリスのこ゛加護か゛あるように。{0xd}{0xf},  0xe9c6
驟瘁昆黼,  0xe9e6
瘁いかか゛されました？{0xd}{0xf}{0xe}{0x0}{0x1}{0xe}{0x2}マイリーの正義を共に。{0xd}{0xf},  0xea2e
黼瘁昆黼,  0xea4e
瘁と゛うなさいました？{0xd}{0xf}{0xe}{0x0}{0x1}{0xe}{0x2}ラータ゛の知恵をあなたに。{0xd}{0xf},  0xea9a
黼瘁昆蓐,  0xeaba
瘁いかか゛されました？{0xd}{0xf}{0xe}{0x0}{0x1}{0xe}{0x2}チャ・サ゛のこ゛加護か゛ありますように。{0xd}{0xf},  0xeb14
瘁昆瘁と゛うなさいました？{0xd}{0xf}{0xe}{0x0}{0x1}{0xe}{0x2}マーファのお恵みか゛ありますように。{0xd}{0xf},  0xeb8b
ю零滔{0xe}{0x2}精神力を上け゛たかったら{0x4}魔導師の心を使うことて゛す。{0xd}{0xf}{0xe}{0x2}魔晶石は魔法て゛消費する精神力を{0x4}おき゛なってくれます。{0x4}せ゛ひとも持っていてくた゛さい。{0xd}{0xf}{0xe}{0x2}古代語魔法はメイシ゛スタッフを{0x4}装備していないと使えません。{0xd}{0xf}{0xe}{0x2}コモンルーンを装備していると{0x4}ソーサラー以外て゛も、古代語魔法の{0x4}一部を使うことか゛て゛きます。{0xd}{0xf},  0xecda
